match_id,date,venue,city,teams,team1,team2,toss_winner,toss_decision,winner,result,season,match_type,gender,total_balls
1136567,2018-04-12,Rajiv Gandhi International Stadium,Hyderabad,"Mumbai Indians, Sunrisers Hyderabad",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,2018,T20,male,40
1136568,2018-04-13,M.Chinnaswamy Stadium,Bengaluru,"Kings XI Punjab, Royal Challengers Bangalore",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,2018,T20,male,40
1136569,2018-04-14,Wankhede Stadium,Mumbai,"Mumbai Indians, Delhi Daredevils",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,,2018,T20,male,40
1136570,2018-04-14,Eden Gardens,Kolkata,"Kolkata Knight Riders, Sunrisers Hyderabad",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,2018,T20,male,39
1136571,2018-04-15,M.Chinnaswamy Stadium,Bengaluru,"Rajasthan Royals, Royal Challengers Bangalore",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,,2018,T20,male,40
1136572,2018-04-15,Punjab Cricket Association IS Bindra Stadium,Chandigarh,"Kings XI Punjab, Chennai Super Kings",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,,2018,T20,male,40
1136573,2018-04-16,Eden Gardens,Kolkata,"Kolkata Knight Riders, Delhi Daredevils",Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders,,2018,T20,male,35
1136574,2018-04-17,Wankhede Stadium,Mumbai,"Mumbai Indians, Royal Challengers Bangalore",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,,2018,T20,male,40
1136575,2018-04-18,Sawai Mansingh Stadium,Jaipur,"Rajasthan Royals, Kolkata Knight Riders",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,2018,T20,male,39
1136576,2018-04-19,Punjab Cricket Association IS Bindra Stadium,Chandigarh,"Kings XI Punjab, Sunrisers Hyderabad",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Kings XI Punjab,,2018,T20,male,40
1136577,2018-04-20,Maharashtra Cricket Association Stadium,Pune,"Chennai Super Kings, Rajasthan Royals",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,,2018,T20,male,39
1136578,2018-04-21,Eden Gardens,Kolkata,"Kolkata Knight Riders, Kings XI Punjab",Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,,2018,T20,male,32
1136579,2018-04-21,M.Chinnaswamy Stadium,Bengaluru,"Delhi Daredevils, Royal Challengers Bangalore",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,2018,T20,male,38
1136580,2018-04-22,Rajiv Gandhi International Stadium,Hyderabad,"Chennai Super Kings, Sunrisers Hyderabad",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,,2018,T20,male,40
